number,value,datetime_start,datetime_complete,duration,params_cooc_prob,params_num_cooc_week,params_num_popular_items,params_num_repurchase_week,params_num_train_weeks,params_transaction_dynamic_week,params_volume_week,state
14,0.030083009807994422,2022-04-07 07:34:00.609792,2022-04-07 07:52:42.598176,0 days 00:18:41.988384,0.031042764276297968,11,18,13,2,8,1,COMPLETE
18,0.03002484272518845,2022-04-07 08:21:02.339974,2022-04-07 08:41:02.496876,0 days 00:20:00.156902,0.03215222950232132,11,19,14,2,8,1,COMPLETE
27,0.029979177199051892,2022-04-07 11:10:15.077520,2022-04-07 11:30:05.140806,0 days 00:19:50.063286,0.03436292242344645,10,19,15,2,8,1,COMPLETE
29,0.0299532290870617,2022-04-07 11:48:43.236487,2022-04-07 12:08:25.012343,0 days 00:19:41.775856,0.037014624407833055,12,20,14,2,7,1,COMPLETE
3,0.02986944115002603,2022-04-07 01:16:27.955465,2022-04-07 01:28:26.802021,0 days 00:11:58.846556,0.03100612579190866,10,15,16,1,8,1,COMPLETE
24,0.029868588032976397,2022-04-07 10:26:16.683892,2022-04-07 10:48:23.206783,0 days 00:22:06.522891,0.03403575717600679,9,22,15,2,8,1,COMPLETE
20,0.029842340873697765,2022-04-07 08:54:11.553717,2022-04-07 09:24:56.352621,0 days 00:30:44.798904,0.03293602845877722,11,26,14,3,6,1,COMPLETE
11,0.029808838857595197,2022-04-07 04:17:06.904653,2022-04-07 05:37:49.794505,0 days 01:20:42.889852,0.020388558377802547,16,20,16,4,3,2,COMPLETE
10,0.029794228446014204,2022-04-07 03:03:32.226862,2022-04-07 04:17:06.903409,0 days 01:13:34.676547,0.021658593092099398,16,20,16,4,3,2,COMPLETE
31,0.02975309477829758,2022-04-07 12:28:35.621183,2022-04-07 12:47:47.628187,0 days 00:19:12.007004,0.03761711650453397,12,20,14,2,7,1,COMPLETE
23,0.029692746772929907,2022-04-07 09:55:16.171426,2022-04-07 10:26:16.682596,0 days 00:31:00.511170,0.02477528927992667,12,22,15,2,7,2,COMPLETE
6,0.02967770782613019,2022-04-07 01:38:07.946668,2022-04-07 02:01:55.116549,0 days 00:23:47.169881,0.03588519536883169,13,32,15,2,1,3,COMPLETE
30,0.029677413780709868,2022-04-07 12:08:25.013552,2022-04-07 12:28:35.619860,0 days 00:20:10.606308,0.04242487488121538,8,28,11,3,4,1,COMPLETE
13,0.02963632140236898,2022-04-07 06:12:06.721165,2022-04-07 07:34:00.608631,0 days 01:21:53.887466,0.020354224184474058,10,17,16,4,3,2,COMPLETE
17,0.029634138868290208,2022-04-07 08:09:00.923165,2022-04-07 08:21:02.338734,0 days 00:12:01.415569,0.02554311877947319,14,24,13,1,7,4,COMPLETE
21,0.02963325239678761,2022-04-07 09:24:56.353926,2022-04-07 09:45:48.194133,0 days 00:20:51.840207,0.029193754233797237,11,15,14,2,8,1,COMPLETE
28,0.02959901742685048,2022-04-07 11:30:05.142141,2022-04-07 11:48:43.235258,0 days 00:18:38.093117,0.034029712681263494,6,24,12,2,4,2,COMPLETE
19,0.029511126821920867,2022-04-07 08:41:02.498045,2022-04-07 08:54:11.552441,0 days 00:13:09.054396,0.044480034801794285,8,19,11,2,6,2,COMPLETE
0,0.029444172949849443,2022-04-07 00:30:07.183532,2022-04-07 00:46:24.969254,0 days 00:16:17.785722,0.03675601065850931,13,29,11,2,5,3,COMPLETE
12,0.029393769192592924,2022-04-07 05:37:49.795893,2022-04-07 06:12:06.719889,0 days 00:34:16.923996,0.02940228711200176,16,22,14,3,3,2,COMPLETE
8,0.029381212039641006,2022-04-07 02:21:28.276411,2022-04-07 02:55:30.484026,0 days 00:34:02.207615,0.027334140092839188,7,13,13,3,7,1,COMPLETE
15,0.029334459885212674,2022-04-07 07:52:42.599527,2022-04-07 08:01:20.852665,0 days 00:08:38.253138,0.0311266943052536,11,16,13,1,8,1,COMPLETE
22,0.029238994132413213,2022-04-07 09:45:48.195412,2022-04-07 09:55:16.170069,0 days 00:09:27.974657,0.03170991297440269,9,18,12,1,8,1,COMPLETE
7,0.02914594387551869,2022-04-07 02:01:55.117824,2022-04-07 02:21:28.275107,0 days 00:19:33.157283,0.03536648054161582,4,26,9,3,1,1,COMPLETE
25,0.0289256543280657,2022-04-07 10:48:23.208098,2022-04-07 10:56:04.682381,0 days 00:07:41.474283,0.037872529234511725,14,15,12,1,7,1,COMPLETE
1,0.028885310530626526,2022-04-07 00:46:24.970429,2022-04-07 00:52:59.275666,0 days 00:06:34.305237,0.04710093671387566,10,14,11,1,5,3,COMPLETE
4,0.028816267818454644,2022-04-07 01:28:26.803366,2022-04-07 01:33:05.401581,0 days 00:04:38.598215,0.04000080683905029,6,33,4,1,6,1,COMPLETE
2,0.02872545740578306,2022-04-07 00:52:59.276988,2022-04-07 01:16:27.954198,0 days 00:23:28.677210,0.03943895026941813,12,17,10,4,5,3,COMPLETE
5,0.028683470665972967,2022-04-07 01:33:05.402861,2022-04-07 01:38:07.945377,0 days 00:05:02.542516,0.02528003903243234,13,36,4,1,8,3,COMPLETE
26,0.028392164684845664,2022-04-07 10:56:04.683749,2022-04-07 11:10:15.076124,0 days 00:14:10.392375,0.028694358495534252,11,12,8,3,6,2,COMPLETE
9,0.028298802448229722,2022-04-07 02:55:30.485405,2022-04-07 03:03:32.225586,0 days 00:08:01.740181,0.041655343184466634,8,32,5,2,2,4,COMPLETE
16,0.028282209247603718,2022-04-07 08:01:20.854044,2022-04-07 08:09:00.921900,0 days 00:07:40.067856,0.031899177921659354,9,12,7,2,7,1,COMPLETE
